nm_ins;descr;evid_clas_cat;categ;evid_territ;territ;evid_gr_impl;gr_impl;evid_res;res;evid_part_cid;tp_part_cidada;evid_coprod;coprod_cid;evid_orq_mult_IA;uso_evid_orq_mult_IA;autor;ano;titulo;referencia;_timestamp;input_prompt;input_document_text;input_document_size;_run;_error;_raw
State Program for the Development of Communications and Information Technologies in the Republic of Azerbaijan (Electronic Azerbaijan);A strategic state program aimed at fostering the digital transformation of the national economy and public sector infrastructure.;The document mentions: 'Order of the President of the Republic of Azerbaijan “State Program for the Development of Communications and Information Technologies in the Republic of Azerbaijan for 2010-2022 (Electronic Azerbaijan)”';"Governança Digital; Evolução de leis e normas";The title specifies 'Republic of Azerbaijan';Azerbaijan;The program covers the period 2010-2022, implying its implementation phases.;implementado em produção;The text states: 'Azerbaijan has been able to achieve significant success' in public administration processes.;Digitalization of public administration processes and development of information technology infrastructure in Azerbaijan.;;nenhum;;nenhum;;nenhum;Kamran Abdullayev et al.;2024;Current trends in digital transformation and their impact on the national economy;Abdullayev, K., Aliyeva, A., Ibrahimova, K., Badalova, S., & Hajizada, S. (2024). Current trends in digital transformation and their impact on the national economy. Scientific Bulletin of Mukachevo State University. Series “Economics”, 11(1), 9-18.;2,02605E+13;New Prompt;Abdullayev et al. - 2024 - Current trends in digital transformation and their impact on the national economy.pdf_part_000;12000;gemini-3.1-flash-lite-preview;;
Azerbaijan digital hub project;A large-scale project aimed at digital infrastructure development and connectivity, acting as a centerpiece of national digital transformation.;Described as 'one of the most ambitious of all those being implemented in the country'.;"Governança Digital; Coprodução de Valor Público";The project name 'Azerbaijan digital hub' indicates the national scope.;Azerbaijan;Referred to as 'being implemented in the country'.;em desenvolvimento para produção;The text suggests it aims to enhance economic development and digital connectivity.;Strategic development of communications and information technology infrastructure, contributing to the nation's digital growth.;;nenhum;;nenhum;;nenhum;Kamran Abdullayev et al.;2024;Current trends in digital transformation and their impact on the national economy;Abdullayev, K., Aliyeva, A., Ibrahimova, K., Badalova, S., & Hajizada, S. (2024). Current trends in digital transformation and their impact on the national economy. Scientific Bulletin of Mukachevo State University. Series “Economics”, 11(1), 9-18.;2,02605E+13;New Prompt;Abdullayev et al. - 2024 - Current trends in digital transformation and their impact on the national economy.pdf_part_000;12000;gemini-3.1-flash-lite-preview;;
E-Government;A concept designed to minimize the distance between citizens and civil servants through IT solutions and reduce bureaucratic barriers.;The concept of “e-government” plays a major role in modern Azerbaijan. Its main objectives are to minimize the distance between citizens and civil servants;"Governança Digital; Canal inteligente de serviços; Cidadania Digital";The concept of “e-government” plays a major role in modern Azerbaijan.;país;Citizens can use the services of state bodies such as the Ministry of Transport, Communications and High Technologies, the Ministry of Labor and Social Protection, the Ministry of Health, the Ministry of Justice, and others;implementado em produção;This facilitates the process of providing social and economic services and makes it possible to provide them in real-time, eliminating time lags;Facilitates social and economic services, eliminates time lags, and improves interaction between citizens and public institutions.;Citizens can use the services of state bodies such as the Ministry of Transport, Communications and High Technologies;individual;none;nenhum;none;nenhum;Abdullayev et al.;2023;Current trends in digital transformation;"Abdullayev, et al. (2023). Current trends in digital transformation... Scientific Bulletin of Mukachevo State University. Series ""Economics"", 11(1), 12-14.";2,02605E+13;New Prompt;Abdullayev et al. - 2024 - Current trends in digital transformation and their impact on the national economy.pdf_part_001;12000;gemini-3.1-flash-lite-preview;;
Information and Communication Technology Application and Training Center;A center established by the Ministry of Digital Development and Transport to allow the population and entrepreneurs to receive education services in ICT and apply them in practice.;the Ministry of Digital Development and Transport established the “Information and Communication Technology Application and Training Center” , which should allow the population and entrepreneurs to receive education services;Governo Digital na Educação;in Azerbaijan;país;the Ministry of Digital Development and Transport established the “Information and Communication Technology Application and Training Center”;implementado em produção;The use of similar training methods will likely increase the financial literacy of the local population;Increased digital and financial literacy among the population and entrepreneurs.;allow the population and entrepreneurs to receive education services;individual;receive education services in information and communication technologies and their subsequent application in practice;População e empreendedores participam de capacitação técnica aplicada para a prática de serviços digitais.;none;nenhum;Abdullayev et al.;2023;Current trends in digital transformation;"Abdullayev, et al. (2023). Current trends in digital transformation... Scientific Bulletin of Mukachevo State University. Series ""Economics"", 11(1), 12-14.";2,02605E+13;New Prompt;Abdullayev et al. - 2024 - Current trends in digital transformation and their impact on the national economy.pdf_part_001;12000;gemini-3.1-flash-lite-preview;;
Centre for the Fourth Industrial Revolution in Azerbaijan;Responsible for coordinating initiatives in the field of economy and the fourth industrial revolution to ensure the fastest possible digital transformation of companies.;"This center is responsible for coordinating initiatives in the field of economy and the fourth industrial revolution; one of its goals is to ensure the fastest possible digital transformation";"Automatização e IA; Governança Digital";in Azerbaijan;país;the “Centre for the Fourth Industrial Revolution in Azerbaijan” (2021). This center is responsible for coordinating initiatives;implementado em produção;ensure the fastest possible digital transformation of companies and enterprises in Azerbaijan;Coordinated digital transformation and promotion of Industry 4.0 standards in the economy.;none;nenhum;none;nenhum;"This center is responsible for coordinating initiatives in the field of economy and the fourth industrial revolution; one of its goals is to ensure the fastest possible digital transformation of companies";"What: 4IR initiatives coordination; Why: to accelerate digital transformation; Where: Azerbaijan; When: 2021 onwards; Who: Centre for the Fourth Industrial Revolution in Azerbaijan; How: through institutional coordination and digital ecosystems; How much: not specified.";Abdullayev et al.;2023;Current trends in digital transformation;"Abdullayev, et al. (2023). Current trends in digital transformation... Scientific Bulletin of Mukachevo State University. Series ""Economics"", 11(1), 12-14.";2,02605E+13;New Prompt;Abdullayev et al. - 2024 - Current trends in digital transformation and their impact on the national economy.pdf_part_001;12000;gemini-3.1-flash-lite-preview;;
Central Bank Digital Currency (CBDC) / Digital Manat;A digital currency introduced by the central bank to track money flows, manage economic systems, and restrict the use of social service funds.;The introduction of such a means of payment will help increase the efficiency of the central bank’s management... prohibit citizens from using the funds issued to them for other purposes;"Governança Digital; Governo Digital Proativo";But this concept has not been developed in Azerbaijan yet;Azerbaijan;the Central Bank of the country announced only in 2022 about the development of the concept... working prototypes of CBDC in Azerbaijan should be expected in a few years at the earliest.;em desenvolvimento para produção;it will make it possible to more clearly track money flows... make it possible to instantly block or cancel any transactions... improve the efficiency of the state’s distribution of social services;Increases manageability of the economic/financial system, helps fight crime/money laundering, and ensures efficient distribution of social services by restricting fund usage to necessities. Creates public value through efficiency, though potentially destroys value regarding citizen privacy.;it deprives citizens of the factor of confidentiality;nenhum;prohibit citizens from using the funds issued to them for other purposes;nenhum;None mentioned;nenhum;Abdullayev et al.;2023;"Scientific Bulletin of Mukachevo State University. Series ""Economics""";"Abdullayev, K., et al. (2023). Scientific Bulletin of Mukachevo State University. Series ""Economics"", 11(1).";2,02605E+13;New Prompt;Abdullayev et al. - 2024 - Current trends in digital transformation and their impact on the national economy.pdf_part_002;12000;gemini-3.1-flash-lite-preview;;
Digital transformation projects in public administration;Government-led educational projects and introduction of technology in public administration to increase efficiency and competitiveness.;it is observed in educational projects, the introduction of technology in public administration, and the implementation of the Azerbaijan Digital Hub;"Coprodução de Valor Público; Governança Digital";it is observed in educational projects... in Azerbaijan;Azerbaijan;In many areas, they have been able to achieve significant success.;implementado em produção;allow the country to achieve significantly greater efficiency of operation and improve its competitive ability in international markets.;Increases enterprise competitiveness, tax revenues, and improves public service delivery and educational services, reducing 'brain drain'.;local small and medium-sized enterprises have significant opportunities for staff training;coletiva;training programs aimed at developing entrepreneurs’ understanding of the role of digital technology;Empowered participation of entrepreneurs through government-supported training programs to enhance digital literacy and technology adoption.;None mentioned;nenhum;Abdullayev et al.;2023;"Scientific Bulletin of Mukachevo State University. Series ""Economics""";"Abdullayev, K., et al. (2023). Scientific Bulletin of Mukachevo State University. Series ""Economics"", 11(1).";2,02605E+13;New Prompt;Abdullayev et al. - 2024 - Current trends in digital transformation and their impact on the national economy.pdf_part_002;12000;gemini-3.1-flash-lite-preview;;
Central Bank digital manat concept;Preparation of a concept for a digital currency (digital manat) as part of the country's digital transformation process.;Central Bank preparing concept of digital manat.;"Governança Digital; Automatização e IA";Central Bank preparing concept of digital manat. (2022). Retrieved from https://www.azernews.az/business/195513.html.;país;Central Bank preparing concept of digital manat.;em desenvolvimento para produção;None mentioned specifically beyond the concept preparation.;In development stage, aimed at modernizing financial services in Azerbaijan.;None.;nenhum;None.;nenhum;None.;nenhum;Abdullayev, K., Abbaszade, M., Aliyeva, A., & Ibrahimova, K.;2024;Current trends in digital transformation and their impact on the national economy;"Abdullayev, K., et al. (2024). Current trends in digital transformation and their impact on the national economy. Scientific Bulletin of Mukachevo State University. Series ""Economics"", 11(1), 16-18.";2,02605E+13;New Prompt;Abdullayev et al. - 2024 - Current trends in digital transformation and their impact on the national economy.pdf_part_003;12000;gemini-3.1-flash-lite-preview;;
Strategic Roadmap for the Development of Telecommunications and Information Technologies;A regulatory framework and strategic policy document aimed at advancing digital infrastructure and services.;Decree of the President of the Republic of Azerbaijan “Strategic Roadmap for the Development of Telecommunications and Information Technologies in the Republic of Azerbaijan”;"Governança Digital; Evolução de leis e normas";Decree of the President of the Republic of Azerbaijan;país;Decree of the President... (2016).;implementado em produção;The document references ongoing digital transformation as a key component of economic development.;Establishment of institutional foundations for digital transformation in the country, fostering growth in ICT sector.;None.;nenhum;None.;nenhum;None.;nenhum;Abdullayev, K., Abbaszade, M., Aliyeva, A., & Ibrahimova, K.;2024;Current trends in digital transformation and their impact on the national economy;"Abdullayev, K., et al. (2024). Current trends in digital transformation and their impact on the national economy. Scientific Bulletin of Mukachevo State University. Series ""Economics"", 11(1), 16-18.";2,02605E+13;New Prompt;Abdullayev et al. - 2024 - Current trends in digital transformation and their impact on the national economy.pdf_part_003;12000;gemini-3.1-flash-lite-preview;;
Sistema de gestão de processos de digitalização;Sistema nacional de gestão focado na transição para economias digitais e modernização institucional.;Nacionalna політика країни спрямована на мотивацію підприємств до зміни принципів свого функціонування на більш інноваційні;"Governança Digital; Governo Digital Proativo";в Азербайджані існує досить розвинена система управління процесами діджиталізації;país;Азербайджан зміг досягти значних успіхів;implementado com resultados de coprodução ou impacto de valor público;впровадження цифрових технологій у процеси державного управління, в яких Азербайджан зміг досягти значних успіхів;O país alcançou sucessos significativos na integração de tecnologias digitais nos processos de gestão estatal, gerando valor público através da modernização administrativa.;забезпечення освітніх програм для громадян з точки зору підвищення грамотності щодо новітніх цифрових технологій;individual;забезпечення освітніх програм для громадян з точки зору підвищення грамотності;Participação individual através de programas educacionais de letramento digital oferecidos pelo governo.;nenhum;nenhum;não identificado;não identificado;não identificado;não identificado;2,02605E+13;New Prompt;Abdullayev et al. - 2024 - Current trends in digital transformation and their impact on the national economy.pdf_part_004;1197;gemini-3.1-flash-lite-preview;;
Suporte financeiro e não financeiro para PMEs;Mecanismos de apoio estatal para incentivar a inovação e a transformação digital em pequenas e médias empresas.;Особливо важливу роль відіграє фінансова та нефінансова підтримка малих і середніх підприємств;Coprodução de Valor Público;Азербайджані;país;дозволило їм вписатися в нові економічні реалії;implementado em produção;дозволило їм вписатися в нові економічні реалії;Adaptação das empresas às novas realidades econômicas e aumento da resiliência através da inovação digital.;немає;nenhum;немає;nenhum;nenhum;nenhum;não identificado;não identificado;não identificado;não identificado;2,02605E+13;New Prompt;Abdullayev et al. - 2024 - Current trends in digital transformation and their impact on the national economy.pdf_part_004;1197;gemini-3.1-flash-lite-preview;;
